1,95
1,186
1,132
1,145
1,73
1,166
1,34
1,124
1,78
1,100
1,185
1,28
1,151
1,131
1,187
1,52
1,20
1,159
2,15
2,179
2,170
2,133
2,140
2,28
2,182
2,153
2,8
2,128
2,32
2,154
2,111
2,183
2,137
2,14
2,8
2,100
3,182
3,144
3,195
3,132
3,20
3,102
3,21
3,54
3,187
3,125
3,85
3,123
3,144
3,13
3,6
3,17
3,11
4,29
4,49
4,4
4,194
4,50
4,82
4,56
4,142
4,182
4,29
4,163
4,130
4,55
4,17
4,184
4,144
4,124
4,110
4,181
4,53
5,99
5,87
5,84
5,41
5,85
5,19
5,145
5,46
5,21
6,152
6,153
6,59
6,70
6,193
6,138
6,166
6,103
6,45
6,32
6,182
6,131
6,184
6,162
6,155
6,59
6,177
6,8
6,107
6,57
6,44
7,162
7,64
7,121
7,126
7,175
7,35
7,66
7,26
7,158
7,60
7,76
7,196
7,195
7,83
7,194
7,1
7,175
7,177
7,143
7,154
7,160
7,115
7,176
8,115
8,23
8,130
8,62
8,104
8,75
8,164
8,157
8,25
8,95
8,88
8,135
8,42
8,42
8,152
8,128
8,138
8,78
8,125
9,198
9,72
9,143
9,110
9,117
9,120
9,90
9,118
9,49
9,29
9,141
9,184
9,121
9,64
9,118
9,4
9,118
9,65
10,124
10,186
10,111
10,192
10,104
10,93
10,45
10,177
10,156
10,92
10,147
10,130
10,186
10,155
10,183
10,133
10,175
10,14
10,71
11,11
11,134
11,144
11,38
11,183
11,90
11,92
11,38
11,127
11,149
11,50
11,18
11,24
11,5
11,120
11,116
11,156
11,93
